 2_stage                   SWAT+ Jun 17  2020    MODULAR Rev 2020.60.4                                    
   jday   mon   day    yr   unit  gis_id  name                 sedyld     sedorgn     sedorgp     surqno3     lat3no3    surqsolp        usle      sedmin     tileno3
                                                                  tha        kgha        kgha        kgha        kgha        kgha        tons        ----        ----
    31     1    31  2012       1       1  field                  0.757       1.456       0.082       1.885       1.265       0.000       0.000       0.013       0.000
    31     1    31  2012       2       2  sat_buff              28.250      62.522      56.705       0.127       0.789       0.000       0.000       0.015       0.000
    60     2    29  2012       1       1  field                  0.276       0.508       0.029       0.701       1.252       0.000       0.000       0.005       0.000
    60     2    29  2012       2       2  sat_buff              10.394      22.414      33.906       0.020       0.765       0.000       0.000       0.003       0.000
    91     3    31  2012       1       1  field                  0.042       0.077       0.004       0.095       1.397       0.000       0.000       0.001       0.005
    91     3    31  2012       2       2  sat_buff               1.668       5.163       9.750       0.001       0.847       0.000       0.000       0.000       0.000
   121     4    30  2012       1       1  field                  0.000       0.000       0.000       0.000       1.121       0.000       0.000       0.000       0.000
   121     4    30  2012       2       2  sat_buff               0.001       0.519       2.080       0.001       0.811       0.000       0.000       0.000       0.000
   152     5    31  2012       1       1  field                  0.000       0.000       0.000       0.000       0.838       0.000       0.000       0.000       0.000
   152     5    31  2012       2       2  sat_buff               0.000       0.088       0.149       0.001       0.812       0.000       0.000       0.000       0.000
   182     6    30  2012       1       1  field                  0.000       0.000       0.000       0.000       0.698       0.000       0.000       0.000       0.000
   182     6    30  2012       2       2  sat_buff               0.000       0.000       0.000       0.000       0.703       0.000       0.000       0.000       0.000
   213     7    31  2012       1       1  field                  0.000       0.000       0.000       0.000       0.661       0.000       0.000       0.000       0.000
   213     7    31  2012       2       2  sat_buff               0.000       0.000       0.000       0.000       0.699       0.000       0.000       0.000       0.000
   244     8    31  2012       1       1  field                  0.000       0.000       0.000       0.000       0.607       0.000       0.000       0.000       0.000
   244     8    31  2012       2       2  sat_buff               0.001       0.001       0.000       0.935       0.813       0.001       0.000       0.000       0.000
   274     9    30  2012       1       1  field                  0.000       0.000       0.000       0.000       0.540       0.000       0.000       0.000       0.000
   274     9    30  2012       2       2  sat_buff               0.000       0.000       0.000       0.232       0.810       0.000       0.000       0.000       0.000
   305    10    31  2012       1       1  field                  0.000       0.000       0.000       0.000       0.515       0.000       0.000       0.000       0.000
   305    10    31  2012       2       2  sat_buff               0.000       0.000       0.000       0.221       0.854       0.000       0.000       0.000       0.000
   335    11    30  2012       1       1  field                  0.000       0.000       0.000       0.000       0.460       0.000       0.000       0.000       0.000
   335    11    30  2012       2       2  sat_buff               0.000       0.000       0.000       0.010       0.832       0.000       0.000       0.000       0.000
