        jday         mon         day          yr name          type              flo            sed           orgn           sedp            no3           solp           chla            nh3            no2           cbod            dox            san            sil            cla            sag            lag            grv           temp
          34           2           3        1988 hru71           hru        5.48762691E-05   8.83675855E-10   5.48762724E-09   1.64628808E-08   5.48762724E-09   5.48762724E-09   0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       8.83675852E-07   8.83675852E-07   8.83675852E-07   8.83675852E-07   8.83675852E-07   0.00000000       0.00000000    
          35           2           4        1988 hru71           hru        5.48762691E-05   8.83675855E-10   5.48762724E-09   1.64628808E-08   5.48762724E-09   5.48762724E-09   0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       8.83675852E-07   8.83675852E-07   8.83675852E-07   8.83675852E-07   8.83675852E-07   0.00000000       0.00000000    
          36           2           5        1988 hru71           hru        5.48762691E-05   8.83675855E-10   5.48762724E-09   1.64628808E-08   5.48762724E-09   5.48762724E-09   0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       8.83675852E-07   8.83675852E-07   8.83675852E-07   8.83675852E-07   8.83675852E-07   0.00000000       0.00000000    
          37           2           6        1988 hru71           hru        5.48762691E-05   8.83675855E-10   5.48762724E-09   1.64628808E-08   5.48762724E-09   5.48762724E-09   0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       8.83675852E-07   8.83675852E-07   8.83675852E-07   8.83675852E-07   8.83675852E-07   0.00000000       0.00000000    
          38           2           7        1988 hru71           hru        5.48762691E-05   8.83675855E-10   5.48762724E-09   1.64628808E-08   5.48762724E-09   5.48762724E-09   0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       8.83675852E-07   8.83675852E-07   8.83675852E-07   8.83675852E-07   8.83675852E-07   0.00000000       0.00000000    
          39           2           8        1988 hru71           hru        5.48762691E-05   8.83675855E-10   5.48762724E-09   1.64628808E-08   5.48762724E-09   5.48762724E-09   0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       8.83675852E-07   8.83675852E-07   8.83675852E-07   8.83675852E-07   8.83675852E-07   0.00000000       0.00000000    
          40           2           9        1988 hru71           hru        5.48762691E-05   8.83675855E-10   5.48762724E-09   1.64628808E-08   5.48762724E-09   5.48762724E-09   0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       8.83675852E-07   8.83675852E-07   8.83675852E-07   8.83675852E-07   8.83675852E-07   0.00000000       0.00000000    
          41           2          10        1988 hru71           hru        5.48762691E-05   8.83675855E-10   5.48762724E-09   1.64628808E-08   5.48762724E-09   5.48762724E-09   0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       8.83675852E-07   8.83675852E-07   8.83675852E-07   8.83675852E-07   8.83675852E-07   0.00000000       0.00000000    
          42           2          11        1988 hru71           hru        5.48762691E-05   8.83675855E-10   5.48762724E-09   1.64628808E-08   5.48762724E-09   5.48762724E-09   0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       8.83675852E-07   8.83675852E-07   8.83675852E-07   8.83675852E-07   8.83675852E-07   0.00000000       0.00000000    
          43           2          12        1988 hru71           hru        5.48762691E-05   8.83675855E-10   5.48762724E-09   1.64628808E-08   5.48762724E-09   5.48762724E-09   0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       8.83675852E-07   8.83675852E-07   8.83675852E-07   8.83675852E-07   8.83675852E-07   0.00000000       0.00000000    
          44           2          13        1988 hru71           hru        5.48762691E-05   8.83675855E-10   5.48762724E-09   1.64628808E-08   5.48762724E-09   5.48762724E-09   0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       8.83675852E-07   8.83675852E-07   8.83675852E-07   8.83675852E-07   8.83675852E-07   0.00000000       0.00000000    
          45           2          14        1988 hru71           hru        5.48762691E-05   8.83675855E-10   5.48762724E-09   1.64628808E-08   5.48762724E-09   5.48762724E-09   0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       8.83675852E-07   8.83675852E-07   8.83675852E-07   8.83675852E-07   8.83675852E-07   0.00000000       0.00000000    
