 ceap_07120002             SWAT+ Jun 17  2020    MODULAR Rev 2020.60.4                                    
   jday   mon   day    yr   unit  gis_id  name                       flo          dep_wt            stor          rchrg           seep          revap         no3_st           minp           orgn           orgp         rchrgn          nloss          no3gw        seepno3        flo_cha        flo_res         flo_ls
                                                                       mm              m              mm             mm             mm             mm        kg/ha_N            kg        kg/ha_N        kg/ha_P        kg/ha_N        kg/ha_N        kg/ha_N             kg            m^3            m^3            m^3
   365    12    31  2002      26       1  aq_071200020507           0.000          5.000          0.000          7.054          5.989          1.065          0.006          0.000          0.000          0.000          0.014          0.000          0.000          0.000          0.000          0.000          0.000
   365    12    31  2002      27       1  aq_071200020508           0.000          5.000          0.001        174.570         14.722        159.849          0.150          0.000          0.000          0.000          0.271          0.000          0.000          0.004          0.000          0.000          0.000
   365    12    31  2002      28       1  aq_071200020601           0.000          5.000          0.000          0.035          0.035          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
   365    12    31  2002      29       1  aq_071200020602           0.000          5.000          0.000          0.413          0.413          0.000          0.000          0.000          0.000          0.000          0.001          0.000          0.000          0.000          0.000          0.000          0.000
   365    12    31  2002      30       1  aq_071200020603           0.000          5.000          0.000          0.152          0.152          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
   365    12    31  2002      31       1  aq_071200020604           0.000          5.000          0.000         30.656         12.866         17.790          0.032          0.000          0.000          0.000          0.053          0.000          0.000          0.002          0.000          0.000          0.000
   365    12    31  2002      32       1  aq_071200020605           0.000          5.000          0.000          3.300          3.296          0.004          0.003          0.000          0.000          0.000          0.010          0.000          0.000          0.000          0.000          0.000          0.000
   365    12    31  2002      33       1  aq_071200020606           0.000          5.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
   365    12    31  2002      34       1  aq_071200020607           0.000          4.992          0.025         36.982          9.657         26.771          0.019          0.000          0.000          0.000          0.061          0.000          0.000          0.057          0.000          0.000          0.000
   365    12    31  2002      35       1  aq_071200020608           0.000          5.000          0.000         13.592          3.123         10.469          0.014          0.000          0.000          0.000          0.020          0.000          0.000          0.000          0.000          0.000          0.000
   365    12    31  2002      36       1  aq_071200020609           0.000          5.000          0.000          0.111          0.111          0.000          0.001          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
   365    12    31  2002      37       1  aq_071200020610           0.000          4.948          0.156        117.507         16.533        101.409          0.351          0.000          0.000          0.000          0.821          0.000          0.000          0.249          0.000          0.000          0.000
   365    12    31  2002      38       1  aq_071200020701           0.000          5.000          0.000          0.018          0.018          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
   365    12    31  2002      39       1  aq_071200020702           0.000          5.000          0.000          0.014          0.014          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
   365    12    31  2002      40       1  aq_071200020703           0.000          4.983          0.050         16.520          6.775          9.746          0.034          0.000          0.000          0.000          0.039          0.000          0.000          0.003          0.000          0.000          0.000
   365    12    31  2002      41       1  aq_071200020704           0.000          4.976          0.071         17.733          5.437         12.296          0.004          0.000          0.000          0.000          0.037          0.000          0.000          0.023          0.000          0.000          0.000
   365    12    31  2002      42       1  aq_071200020705           0.000          4.960          0.119         11.974          2.308          9.665          0.001          0.000          0.000          0.000          0.020          0.000          0.000          0.018          0.000          0.000          0.000
   365    12    31  2002      43       1  aq_071200020706           0.000          4.989          0.033         38.285          3.313         34.971          0.019          0.000          0.000          0.000          0.029          0.000          0.000          0.002          0.000          0.000          0.000
   365    12    31  2002      44       1  aq_071200020707           0.000          5.000          0.000          0.098          0.098          0.000          0.207          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
   365    12    31  2002      45       1  aq_071200020708           0.000          4.995          0.016         27.956         10.529         17.121          0.012          0.000          0.000          0.000          0.060          0.000          0.000          0.053          0.000          0.000          0.000
   365    12    31  2002      46       1  aq_071200020709           0.000          5.000          0.000          7.527          5.485          2.041          0.007          0.000          0.000          0.000          0.012          0.000          0.000          0.000          0.000          0.000          0.000
   365    12    31  2002      47       1  aq_071200020710           0.000          5.000          0.000          0.000          0.000          0.000          0.004          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
   365    12    31  2002      48       1  aq_071200020711           0.000          4.998          0.005        166.797          9.096        157.701          0.639          0.000          0.000          0.000          1.175          0.000          0.000          0.028          0.000          0.000          0.000
   365    12    31  2002      49       1  aq_071200020801           0.000          5.000          0.000          0.003          0.003          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
   365    12    31  2002      50       1  aq_071200020802           0.000          5.000          0.000          0.007          0.007          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
   365    12    31  2002      51       1  aq_071200020803           0.000          5.000          0.000          2.351          0.849          1.503          0.002          0.000          0.000          0.000          0.003          0.000          0.000          0.000          0.000          0.000          0.000
   365    12    31  2002      52       1  aq_071200020804           0.000          5.000          0.000          0.004          0.004          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
   365    12    31  2002      53       1  aq_071200020805           0.000          5.000          0.000          1.029          0.803          0.226          0.000          0.000          0.000          0.000          0.003          0.000          0.000          0.000          0.000          0.000          0.000
   365    12    31  2002      54       1  aq_071200020806           0.000          5.000          0.000         23.885         15.784          8.101          0.015          0.000          0.000          0.000          0.042          0.000          0.000          0.000          0.000          0.000          0.000
   365    12    31  2002      55       1  aq_071200020807           0.000          4.985          0.045         54.081         11.576         42.506          0.031          0.000          0.000          0.000          0.076          0.000          0.000          0.033          0.000          0.000          0.000
   365    12    31  2002      56       1  aq_071200020808           0.000          5.000          0.000        112.594         12.686         99.908          0.223          0.000          0.000          0.000          0.352          0.000          0.000          0.000          0.000          0.000          0.000
   365    12    31  2002      57       1  aq_071200020901           0.000          5.000          0.000          1.555          1.555          0.000          0.000          0.000          0.000          0.000          0.002          0.000          0.000          0.000          0.000          0.000          0.000
   365    12    31  2002      58       1  aq_071200020902           0.000          5.000          0.000          0.539          0.487          0.052          0.000          0.000          0.000          0.000          0.001          0.000          0.000          0.000          0.000          0.000          0.000
   365    12    31  2002      59       1  aq_071200021001          26.441          4.457          1.759        173.074         15.363        118.210          0.205          0.000          0.000          0.000          0.900          0.000          0.543          0.158          0.000          0.000          0.000
   365    12    31  2002      60       1  aq_071200021002          36.009          4.651          1.901        139.137         10.992         92.135          0.028          0.000          0.000          0.000          0.139          0.000          0.058          0.052          0.000          0.000          0.000
   365    12    31  2002      61       1  aq_071200021101           0.000          4.999          0.004         64.889         14.619         50.271          0.029          0.000          0.000          0.000          0.064          0.000          0.000          0.065          0.000          0.000          0.000
   365    12    31  2002      62       1  aq_071200021102          41.036          4.358          2.799        243.165         15.210        187.088          0.045          0.000          0.000          0.000          0.181          0.000          0.050          0.128          0.000          0.000          0.000
   365    12    31  2002      63       1  aq_071200021201           0.000          5.000          0.000         13.250          7.872          5.377          0.015          0.000          0.000          0.000          0.020          0.000          0.000          0.000          0.000          0.000          0.000
   365    12    31  2002      64       1  aq_071200021202           0.000          5.000          0.001         19.393          5.246         14.147          0.020          0.000          0.000          0.000          0.020          0.000          0.000          0.003          0.000          0.000          0.000
   365    12    31  2002      65       1  aq_071200021301          17.080          4.570          1.407        185.293         13.581        154.632          0.077          0.000          0.000          0.000          0.207          0.000          0.052          0.057          0.000          0.000          0.000
   365    12    31  2002      66       1  aq_071200021302           0.000          4.979          0.062         40.264          5.909         34.355          0.028          0.000          0.000          0.000          0.042          0.000          0.000          0.027          0.000          0.000          0.000
   365    12    31  2002      67       1  aq_071200021303          23.686          4.392          2.704        221.699         15.837        189.252          0.062          0.000          0.000          0.000          0.268          0.000          0.106          0.155          0.000          0.000          0.000
   365    12    31  2002      68       1  aq_071200021304          69.333          3.718          7.839        366.561          9.094        222.423          0.055          0.000          0.000          0.000          0.314          0.000          0.166          0.037          0.000          0.000          0.000
   365    12    31  2002      69       1  aq_071200021305           0.000          5.000          0.000          3.010          2.944          0.066          0.003          0.000          0.000          0.000          0.003          0.000          0.000          0.000          0.000          0.000          0.000
   365    12    31  2002      70       1  aq_071200021306         300.085          3.560         17.486        457.368         16.958        167.466          0.047          0.000          0.000          0.000          0.303          0.000          0.222          0.072          0.000          0.000          0.000
   365    12    31  2002      71       1  aq_071200021307           0.050          4.914          0.258        141.698         18.039        123.609          0.049          0.000          0.000          0.000          0.144          0.000          0.000          0.098          0.000          0.000          0.000
   365    12    31  2002      72       1  aq_071200021308           0.000          5.000          0.000         10.984          6.564          4.420          0.016          0.000          0.000          0.000          0.011          0.000          0.000          0.000          0.000          0.000          0.000
   365    12    31  2002      73       1  aq_071200021401          21.911          4.366          2.046        110.739         13.280         75.118          0.038          0.000          0.000          0.000          0.097          0.000          0.027          0.029          0.000          0.000          0.000
