 ceap_07120002             SWAT+ Jun 17  2020    MODULAR Rev 2020.60.4                                    
   jday   mon   day    yr   unit  gis_id  name                     lai       bioms       yield     residue     sol_tmp       strsw       strsa     strstmp       strsn       strsp        nplt       percn       pplnt         tmx         tmn       tmpav     solarad      wndspd        rhum     phubas0
                                                             m**2/m**2        kgha        kgha        kgha        degc         ---         ---         ---         ---         ---        kgha        kgha        kgha        degc        degc        degc      mj/m^2         m/s        frac        degc
    365    12    31  2001     46       0  sub_071200020709       1.340    6114.381    8763.775     273.413       9.133      30.424       0.000       8.903       3.910       0.194       0.355       0.004       0.000      16.224       5.001      10.613      14.600       0.000       0.000       0.457
    365    12    31  2001     47       0  sub_071200020710       3.255   22078.516    7465.662     577.558      19.328      55.077       0.000     110.041      98.646       0.452       0.459       0.019       0.000      32.090       9.987      21.039      29.199       0.000       0.000       0.906
    365    12    31  2001     48       0  sub_071200020711       3.392   34416.398   10282.363     817.950      18.733      14.007       0.000     113.933       8.045       0.149       0.815       0.004       0.000      31.739       7.972      19.856      29.199       0.000       0.000       0.910
    365    12    31  2001     49       0  sub_071200020801       3.294   29884.721    8710.860     625.737      19.693      21.586       0.000     114.181      19.245       7.919       0.703       0.002       0.000      32.500       9.334      20.917      29.199       0.000       0.000       0.923
    365    12    31  2001     50       0  sub_071200020802       1.231    5409.525    6834.581     313.006       8.692      40.475       0.000       8.651       2.943       0.055       0.282       0.000       0.000      16.307       4.193      10.250      14.600       0.000       0.000       0.460
    365    12    31  2001     51       0  sub_071200020803       3.149   12779.526    6007.257     596.676      18.651     119.103       0.000     114.431     173.716       0.044       0.291       0.000       0.000      33.049       8.627      20.838      29.199       0.000       0.000       0.923
    365    12    31  2001     52       0  sub_071200020804       3.175   22185.254    9023.636     426.079      19.788      39.823       0.000     120.210     100.833       0.074       0.500       0.000       0.000      33.192       8.647      20.920      29.199       0.000       0.000       0.917
    365    12    31  2001     53       0  sub_071200020805       3.162   27493.488    6046.322     536.308      18.530      77.819       0.000     126.334      20.128       0.074       0.636       0.000       0.000      32.594       9.345      20.970      29.199       0.000       0.000       0.916
    365    12    31  2001     54       0  sub_071200020806       3.236   22120.951   10171.700     341.626      18.683      29.003       0.000     115.013     106.806       0.094       0.536       0.007       0.000      31.464       8.426      19.945      29.199       0.000       0.000       0.906
    365    12    31  2001     55       0  sub_071200020807       3.108   20753.803    9121.121     543.436      16.941      70.089       0.000     102.755      83.453       0.056       0.480       0.016       0.000      32.387       8.430      20.408      29.199       0.000       0.000       0.919
    365    12    31  2001     56       0  sub_071200020808       3.227   27673.230    8691.763     905.902      18.942      19.582       0.000     125.101      49.090       0.055       0.595       0.038       0.000      32.407       8.248      20.327      29.199       0.000       0.000       0.914
    365    12    31  2001     57       0  sub_071200020901       1.229    5732.282    7890.120     247.139       8.714      25.103       0.000       8.486       3.542       0.050       0.289       0.000       0.000      16.090       4.116      10.103      14.600       0.000       0.000       0.459
    365    12    31  2001     58       0  sub_071200020902       3.192   23839.395    9685.845     793.375      18.366      11.194       0.000     110.362      83.508       0.055       0.536       0.001       0.000      31.770       8.372      20.071      29.199       0.000       0.000       0.919
    365    12    31  2001     59       0  sub_071200021001       3.205   33015.754    8092.491    1139.085      18.469      29.291       0.000     117.647       8.508       0.117       0.753       0.017       0.000      31.545       8.323      19.934      29.199       0.000       0.000       0.907
    365    12    31  2001     60       0  sub_071200021002       3.444   19908.586   10749.492     689.119      18.145      18.641       0.000     123.414     163.453       0.216       0.445       0.083       0.000      30.819       8.416      19.618      29.199       0.000       0.000       0.892
    365    12    31  2001     61       0  sub_071200021101       3.369   18115.076   11494.489     569.849      19.483       6.601       0.000     126.486     164.993       0.301       0.460       0.115       0.000      31.913       8.465      20.189      29.199       0.000       0.000       0.899
    365    12    31  2001     62       0  sub_071200021102       3.100   14612.712    8305.669     613.270      17.459     102.174       0.000     117.096     154.866       0.082       0.356       0.366       0.000      32.105       8.588      20.346      29.199       0.000       0.000       0.930
    365    12    31  2001     63       0  sub_071200021201       1.283    5852.812    7850.680     316.589       8.806      20.444       0.000      12.548       5.895       0.424       0.303       0.017       0.000      15.759       4.186       9.972      14.600       0.000       0.000       0.452
    365    12    31  2001     64       0  sub_071200021202       3.242   15467.034   10149.216     583.920      18.402      29.711       0.000     113.944     161.021       0.699       0.389       0.150       0.000      31.673       8.361      20.017      29.199       0.000       0.000       0.902
    365    12    31  2001     65       0  sub_071200021301       3.356   26486.172    7493.443     883.138      18.256     108.018       0.000     118.248      35.375       1.609       0.624       0.292       0.000      32.649       9.867      21.258      29.199       0.000       0.000       0.925
    365    12    31  2001     66       0  sub_071200021302       3.260   14441.451    5322.941     605.114      19.184     154.441       0.000     118.309     155.914       0.588       0.327       0.090       0.000      33.110      10.116      21.613      29.199       0.000       0.000       0.927
    365    12    31  2001     67       0  sub_071200021303       3.485   21775.539    5758.079    1160.937      17.875      50.053       0.000     150.818     152.740       3.077       0.360       0.408       0.000      31.671       7.984      19.828      29.199       0.000       0.000       0.894
