 ceap_07120002             SWAT+ Jun 17  2020    MODULAR Rev 2020.60.4                                    
                                                                            --YIELD (kg/ha)--
  jday   mon   day    yr    unit PLANTNM                         MASS          C           N           P
   365    12    31  2003     186    corn                    10824.018    4870.808     189.420      27.060
   365    12    31  2003     187    soyb                     2278.940    1025.523      76.369      17.548
   365    12    31  2003     187    corn                    10822.203    4869.991     189.389      27.056
   365    12    31  2003     188    soyb                     2687.644    1209.440      67.224      20.695
   365    12    31  2003     188    corn                    11200.481    5040.217     196.008      28.001
   365    12    31  2003     189    soyb                     3401.943    1530.874      72.193      26.195
   365    12    31  2003     189    corn                    13956.922    6280.615     244.246      34.892
   365    12    31  2003     190    soyb                     2242.890    1009.301      76.442      17.270
   365    12    31  2003     190    corn                    10437.710    4696.969     182.660      26.094
   365    12    31  2003     191    soyb                     2281.878    1026.845      76.294      17.570
   365    12    31  2003     191    corn                    10760.444    4842.200     188.308      26.901
   365    12    31  2003     192    soyb                     2688.651    1209.893      67.212      20.703
   365    12    31  2003     192    corn                    11197.575    5038.909     195.958      27.994
   365    12    31  2003     193    soyb                     2785.664    1253.549      68.294      21.450
   365    12    31  2003     193    corn                    11697.362    5263.812     204.704      29.243
   365    12    31  2003     194    soyb                     2260.293    1017.132      56.159      17.404
   365    12    31  2003     194    corn                    10681.456    4806.655     186.925      26.704
   365    12    31  2003     195    soyb                     1955.574     880.008      39.234      15.058
   365    12    31  2003     195    corn                     9330.677    4198.804     163.287      23.327
   365    12    31  2003     196    soyb                     2784.388    1252.975      68.251      21.440
   365    12    31  2003     196    corn                    11477.062    5164.677     200.849      28.693
   365    12    31  2003     197    soyb                     3016.656    1357.495      64.283      23.228
   365    12    31  2003     197    corn                    12198.825    5489.472     213.479      30.497
   365    12    31  2003     198    soyb                     2684.681    1208.106      67.244      20.672
   365    12    31  2003     198    corn                    11204.859    5042.187     196.085      28.012
   365    12    31  2003     199    soyb                     3817.202    1717.741     266.822      29.392
   365    12    31  2003     199    corn                    15790.134    7105.560     276.327      39.475
   365    12    31  2003     200    soyb                     2276.562    1024.453      76.385      17.530
   365    12    31  2003     200    corn                    10764.251    4843.913     188.374      26.911
   365    12    31  2003     201    soyb                     2281.700    1026.765      76.295      17.569
   365    12    31  2003     201    corn                    10751.168    4838.025     188.145      26.878
   365    12    31  2003     202    soyb                     2290.696    1030.813      56.021      17.638
   365    12    31  2003     202    corn                    10963.361    4933.513     191.859      27.408
   365    12    31  2003     203    soyb                     2290.535    1030.741      56.009      17.637
   365    12    31  2003     203    corn                    10993.401    4947.031     192.385      27.484
   365    12    31  2003     204    soyb                     3182.065    1431.929      53.465      24.502
   365    12    31  2003     204    corn                    12875.557    5794.000     225.322      32.189
   365    12    31  2003     205    soyb                     2284.083    1027.837      76.279      17.587
   365    12    31  2003     205    corn                    10799.722    4859.875     188.995      26.999
   365    12    31  2003     206    soyb                     2185.654     983.544     120.824      16.830
   365    12    31  2003     206    corn                    10216.117    4597.252     178.782      25.540
   365    12    31  2003     207    soyb                     2279.089    1025.590      76.363      17.549
